,Year,Migration Percentage of Population,T-1 Net migration 25-44 years,T-1 Enterprises_Ireland_250+,T-1 General Surplus/Deficit (Million Euros),T-1 Trade Volume Index Imports (Base 2010),T-1 Housing_CPI,T-1 Trade Volume Index Exports (Base 2010),T-1 Unemployment rate_Ireland_Total_Foreign-born,T-1 Emigrants 15-24 years,T-1 Emigrants_EU15 to EU27,T-1 South Asia Percentage Change,T-1 Migration Percentage of Population,T-1 Crisis Indicator,Events_Positive_Impact,Events_Negative_Impact,Events_Impact
37,1989.0,-1.250352818805079,,,,29.5,,17.4,,20833.33333333333,,2.309949089363486,-1.188669680043598,1,0,0,0
38,1990.0,-0.6516838200851799,,,,33.3,,19.4,,24666.66666666667,,2.304591310834772,-1.250352818805079,0,0,0,0
39,1991.0,-0.05658933262785298,,,,35.6,,21.0,,20533.33333333333,,2.254630370384341,-0.6516838200851799,1,0,0,0
40,1992.0,0.2079568798599382,,,,35.8,,22.2,,13266.66666666667,,2.205167515597898,-0.05658933262785298,1,0,0,0
41,1993.0,-0.0111848659815377,,,,37.6,,25.4,,15000.0,,2.221200495427716,0.2079568798599382,1,0,0,0
42,1994.0,-0.1309051450178337,,,,40.3,,28.0,,15733.33333333333,,2.246717875167655,-0.0111848659815377,1,0,0,0
43,1995.0,-0.05264848188102496,,,,45.6,,32.1,,16400.0,,2.212750798532157,-0.1309051450178337,0,0,0,0
44,1996.0,0.2199306668572732,,,-1137.0,52.2,,38.6,,15066.66666666667,,2.144210745547181,-0.05264848188102496,0,0,0,0
45,1997.0,0.5225668592996896,,,-119.0,57.4,,42.4,,14300.0,,2.084218941429176,0.2199306668572732,1,1,0,1
46,1998.0,0.4686621258514029,,,953.0,65.9,1.2,48.8,,12933.33333333333,,2.047139952155772,0.5225668592996896,1,0,0,0
47,1999.0,0.4607452994658018,,,1666.0,77.9,0.7333333333333334,60.7,,14033.33333333333,,2.024223327698553,0.4686621258514029,0,0,0,0
48,2000.0,0.6832801863988348,,,3282.0,84.4,-6.583333333333333,70.6,,15400.0,,1.997672985539743,0.4607452994658018,1,0,0,0
49,2001.0,0.8483688169626172,,,5268.0,107.8,9.608333333333333,86.7,5.7,14266.66666666667,,1.961818267960381,0.6832801863988348,0,0,0,0
50,2002.0,1.050370210992162,,,1171.0,116.0,10.925,104.6,4.8,14133.33333333333,,1.945289361682472,0.8483688169626172,1,0,0,0
51,2003.0,0.7681681142173405,21400.0,,-706.0,122.0,1.041666666666667,110.7,5.0,12500.0,,1.935104750034855,1.050370210992162,2,0,0,0
52,2004.0,0.7861901764554714,13300.0,,504.0,112.6,-0.5083333333333333,99.2,6.4,11333.33333333333,,1.866390275002845,0.7681681142173405,2,1,0,1
53,2005.0,1.324546613223254,13066.66666666667,,2029.0,108.7,4.274999999999999,101.9,6.1,9400.0,,1.768877569053105,0.7861901764554714,2,0,0,0
54,2006.0,1.680085904336658,22766.66666666667,,2675.0,125.7,10.44166666666667,101.3,6.0,9533.333333333334,800.0,1.686406108791494,1.324546613223254,0,0,0,0
55,2007.0,2.382391038572456,28666.66666666667,,5132.0,132.4,15.975,99.4,6.1,10600.0,2300.0,1.597972667508949,1.680085904336658,0,0,1,1
56,2008.0,1.432216724014733,29733.33333333333,,528.0,141.8,20.5,102.9,5.9,12133.33333333333,7700.0,1.504683380689861,2.382391038572456,1,0,1,1
57,2009.0,0.03527822947385828,9866.666666666666,525.0,-13167.0,126.8,9.7,93.2,6.8,11866.66666666667,10100.0,1.46304712198404,1.432216724014733,3,0,1,1
58,2010.0,-0.6030496770394865,-7400.0,489.0,-23517.0,108.3,-21.80833333333333,103.5,15.7,18600.0,25200.0,1.469734822012241,0.03527822947385828,3,0,1,1
59,2011.0,-0.598242302979596,-11800.0,463.0,-53764.0,100.0,1.775,100.0,16.9,17800.0,14600.0,1.474843586298829,-0.6030496770394865,1,0,0,0
60,2012.0,-0.558752377687039,-2933.333333333333,462.0,-23320.0,110.4,9.75,106.1,17.3,23000.0,10400.0,1.466497037013384,-0.598242302979596,1,0,0,0
61,2013.0,-0.4044278578559354,-8100.0,478.0,-14864.0,120.2,0.7000000000000001,100.6,17.3,17333.33333333333,9200.0,1.41306624754005,-0.558752377687039,3,0,0,0
62,2014.0,-0.1824919381502617,-6266.666666666667,505.0,-11476.0,123.5,0.6416666666666667,101.1,15.7,15933.33333333333,13000.0,1.34471127256853,-0.4044278578559354,1,0,0,0
63,2015.0,0.1254796672959791,-3900.0,514.0,-7050.0,130.1,0.01666666666666665,103.8,13.5,14533.33333333333,8000.0,1.29044353805539,-0.1824919381502617,1,0,0,0
64,2016.0,0.3406700053729128,3000.0,540.0,-5355.0,143.6,1.575,115.5,11.4,11500.0,5900.0,1.226596595904651,0.1254796672959791,1,1,0,1
65,2017.0,0.8154116122934117,9000.0,582.0,-2079.0,158.2,-0.4416666666666667,125.6,9.3,12200.0,9300.0,1.212442704499358,0.3406700053729128,0,0,0,0
66,2018.0,0.9122070562092126,12000.0,609.0,-863.0,168.9,2.05,135.8,8.2,9900.0,8400.0,1.216359896430854,0.8154116122934117,0,0,0,0
67,2019.0,0.8917099348646426,12600.0,657.0,437.0,189.2,5.100000000000001,156.2,7.2,7866.666666666667,6000.0,1.187651859036261,0.9122070562092126,0,0,0,0
68,2020.0,0.8966213622145706,15333.33333333333,732.0,1695.0,192.7,3.766666666666667,168.5,5.9,11466.66666666667,3700.0,1.144473285233516,0.8917099348646426,0,0,1,1
69,2021.0,0.4331271542115457,16666.66666666667,666.0,-18704.0,194.4,-1.008333333333333,188.6,7.5,10266.66666666667,7900.0,1.124469419296066,0.8966213622145706,2,0,0,0
70,2022.0,1.008353536161274,13066.66666666667,,-6565.0,214.5,5.649999999999999,191.3,7.5,12733.33333333333,4400.0,1.029463930066683,0.4331271542115457,1,1,0,1
71,2023.0,,21466.66666666667,,8635.0,275.2,20.48333333333333,233.9,4.9,14033.33333333333,5000.0,0.9167826708312149,1.008353536161274,0,0,0,0
72,2024.0,,,,8328.0,,,,,,8800.0,,,0,0,0,0
73,,,,,,,,,,,,,,0,0,0,0
